Make,Model,baseModel,Year
Mercedes-Benz,E350 Convertible,E-Class,2013
Porsche,Cayman S,Cayman,2013
Honda,Accord,Accord,2013
Jeep,Compass 4WD,Compass,2013
Toyota,Cressida,Cressida,2013
Nissan,Pathfinder 2WD,Pathfinder,2013
Mercedes-Benz,E350 4matic Coupe,E-Class,2013
BMW,535d,5 Series,2014
Chevrolet,R10 Pickup 2WD,R10 Pickup,2013
Chrysler,300 AWD,300,2015
Tesla,Model S AWD - 75D,Model S,2017
Chevrolet,Cruze,Cruze,2017
Jeep,Renegade 4WD,Renegade,2019
BMW,840i xDrive Coupe,8 Series,2019
Buick,Skyhawk,Skyhawk,2013
Hyundai,Tucson AWD,Tucson,2021
Chevrolet,Lumina Minivan 2WD,Lumina Minivan,2013
Toyota,RAV4 4WD,RAV4,2013
GMC,Safari 2WD (passenger),Safari Passenger,2013
Volvo,C70 Convertible,C70,2013
Volvo,C70 Coupe,C70,2013
Dodge,Dakota Pickup 4WD,Dakota Pickup,2013
Scion,xB,xB,2013
Chevrolet,HHR FWD,HHR,2013
Mitsubishi,Outlander 2WD,Outlander,2013
Volkswagen,Touareg,Touareg,2013
Chevrolet,Silverado C15 2WD,Silverado,2013
Saab,9-7X AWD,9-7,2013
Isuzu,Pickup 2WD,Pickup,2013
Mercedes-Benz,AMG EQE 4matic Plus (SUV),EQE,2023
Kia,Forte FE,Forte,2023
Jeep,Wagoneer L 4WD,Wagoneer,2023
BMW,XM,XM,2023
BMW,735i,7 Series,2013
Chevrolet,C1500 Pickup 2WD,C1500 Pickup,2013
Jeep,Comanche Pickup 4WD,Comanche Pickup,2013
Pontiac,6000 Wagon,6000,2013
Volvo,240 Wagon,240,2013
Mazda,B2200/B2600i,B Pickup,2013
GMC,K2500 Sierra 4WD,K2500 Sierra,2013
Ford,E250 Econoline 2WD,E250 Econoline,2013
Jeep,Cherokee 2WD,Cherokee,2013
Infiniti,Q60 AWD,Q60,2016
Bentley,Continental GT,Continental,2016
Chevrolet,G30 Van 2WD,G30 Van,2013
Dodge,Caravan/Grand Caravan/Ram Van 2WD,Caravan/Grand Caravan/Ram Van,2013
Toyota,Avalon XLE,Avalon,2018
GMC,Sierra K10 4WD,Sierra,2018
Genesis,G80 AWD,G80,2019
Chevrolet,Trax AWD,Trax,2019
Nissan,200SX,200SX,2013
Volvo,V90 CC AWD,V90,2020
BMW,X3 xDrive30i,X3,2020
Lexus,GX 460,GX,2020
Aston Martin,DBS,DBS,2020
Kia,Niro Electric,Niro,2021
Tesla,Model 3 Standard Range Plus RWD,Model 3,2021
Hyundai,Elantra N,Elantra,2021
Polestar,2 Single Motor,2,2021
Nissan,Rogue FWD SL/Platinum,Rogue,2021
Pontiac,Fiero,Fiero,2013
Porsche,Panamera Turbo,Panamera,2013
GMC,Sierra C15 2WD,Sierra,2013
Dodge,Avenger,Avenger,2013
Volkswagen,GTI,Golf/GTI,2013
Hyundai,Equus,Equus,2013
Aston Martin,V12 Vantage,Vantage,2013
Kia,Forte Koup,Forte,2013
Mitsubishi,Galant,Galant,2013
Toyota,Avalon,Avalon,2013
Hyundai,Elantra Blue,Elantra,2013
Infiniti,M56x,M56,2013
Mazda,CX-5 2WD,CX-5,2013
Volkswagen,GTI,Golf/GTI,2013
Aston Martin,Rapide S,Rapide,2014
Lexus,RC 300 AWD,RC,2015
Plymouth,Laser,Laser,2013
Subaru,Legacy Wagon,Legacy/Outback,2013
Nissan,Pathfinder 2WD,Pathfinder,2013
Chevrolet,S10 Pickup 2WD,S10 Pickup,2013
BMW,328i/328is,3 Series,2013
Volkswagen,Passat,Passat,2013
Mercedes-Benz,S600,S-Class,2013
Chevrolet,T10 (S10) Pickup 4WD,T10 (S10) Pickup,2013
Mercedes-Benz,AMG GLE63,GLE-Class,2016
Honda,Civic 5Dr Sport,Civic,2017
Lexus,IS 350,IS,2017
Porsche,Cayman,Cayman,2017
Cadillac,ATS-V,ATS,2018
BYD,e6,e6,2019
Chevrolet,Silverado 2WD,Silverado,2020
Mazda,RX-8,RX-8,2013
Ford,Ranger 2WD,Ranger,2013
Bentley,Continental GTC,Continental,2013
Ford,E150 Club Wagon,E150 Club Wagon,2013
Chevrolet,S10 Pickup 2WD,S10 Pickup,2013
Jaguar,F-Type S Convertible,F-Type,2016
Mercury,Grand Marquis,Grand Marquis,2013
Saturn,Vue FWD,Vue,2013
BMW,Z4 3.0i,Z4,2013
Subaru,Forester AWD,Forester,2013
Hyundai,Tiburon,Tiburon,2013
BMW,Z4 3.0si,Z4,2013
Hyundai,Azera,Azera,2013
Lexus,IS F,IS F,2013
Mitsubishi,Endeavor 2WD,Endeavor,2013
GMC,Safari AWD (passenger),Safari,2013
Mazda,Navajo,Navajo,2013
Chevrolet,Pickup 2500 4WD,Pickup 2500,2013
Ford,Ranger Pickup 2WD,Ranger,2013
Mazda,B2300/B3000/B4000 Pickup 2WD,B Pickup,2013
Mazda,MX-5 Miata,MX-5 Miata,2013
Lexus,ES 300,ES,2013
Toyota,Echo,Echo,2013
Chevrolet,Blazer 4WD,Blazer,2013
GMC,Yukon XL 1500 2WD,Yukon,2013
Mazda,MX-30,MX-30,2023
Toyota,Tundra 2WD,Tundra,2023
Acura,Integra,Integra,2013
Eagle,Medallion Wagon,Medallion,2013
Ford,Taurus Wagon V6 A/C,Taurus,2013
Pontiac,Firebird/Trans Am,Firebird/Trans Am/Formula,2013
Mercedes-Benz,300TE,300,2013
Volkswagen,Jetta,Jetta,2013
Suzuki,Sidekick Soft-top 4WD,Sidekick,2013
Toyota,Truck 4WD,Truck/T100,2013
Mercedes-Benz,GLE450 4matic,GLE-Class,2023
Mitsubishi,Eclipse Cross 4WD,Eclipse Cross,2023
Kia,Sorento FWD,Sorento,2024
Mercedes-Benz,AMG G63 4x4 Squared,G-Class,2024
Ford,Bronco II 4WD,Bronco II,2013
Ford,Escort,Escort,2013
Hyundai,Sonata,Sonata,2013
Oldsmobile,Cutlass Ciera,Cutlass Ciera,2013
Plymouth,Colt Wagon 4WD,Colt,2013
Plymouth,Sundance,Sundance,2013
Chevrolet,Cavalier,Cavalier,2013
Buick,Riviera,Riviera,2013
Ferrari,Mondial T/Cabriolet,Mondial T/Cabriolet,2013
Chrysler,LeBaron,LeBaron,2013
Dodge,B150/B250 Van 2WD,B150/B250 Van,2013
BMW,325i,3 Series,2013
Suzuki,Forenza Wagon,Forenza,2013
Porsche,Cayman S,Cayman,2013
Isuzu,I-Mark,I-Mark,2013
Dodge,B150/B250 Wagon 2WD,B150/B250 Wagon,2013
Lexus,RX 350h AWD,RX,2023
Land Rover,Defender 130 Outbound,Defender,2023
Mitsubishi,Truck 2WD,Truck,2013
Chevrolet,C10 Pickup 2WD,C10 Pickup,2013
Mercury,Sable,Sable,2013
Ford,F150 Pickup 2WD,F150,2013
Suzuki,Samurai Soft-top 4WD,Samurai,2013
Dodge,Dakota Cab Chassis 2WD,Dakota Cab Chassis,2013
Chevrolet,G10/20 Van 2WD,G10/20 Van,2013
Jeep,Comanche Pickup 4WD,Comanche Pickup,2013
Geo,Prizm,Prizm,2013
Dodge,Ram 2500 Pickup 2WD,Ram 2500 Pickup,2013
Geo,Tracker Van 4WD,Tracker,2013
Volkswagen,Jetta,Jetta,2013
GMC,Sonoma 4WD,Sonoma,2013
Dodge,Ram 1500 Pickup 4WD,Ram 1500 Pickup,2013
Chevrolet,Prizm,Prizm,2013
Dodge,Dakota Pickup 4WD,Dakota Pickup,2013
Oldsmobile,Custom Cruiser Wagon,Custom Cruiser,2013
Ford,Windstar FWD Wagon,Windstar,2013
BMW,325ci,3 Series,2013
Toyota,Sienna 2WD,Sienna,2013
Jaguar,XJ Sport,XJ,2013
Lexus,IS 300,IS,2013
Chevrolet,Silverado 1500 4WD,Silverado,2013
BMW,540i Sedan,5 Series,2021
Porsche,718 Cayman T,718,2021
Chevrolet,Lumina,Lumina,2013
Mercedes-Benz,E420,E-Class,2013
GMC,Sonoma 2WD,Sonoma,2013
Toyota,Tacoma 2WD,Tacoma,2013
Oldsmobile,Aurora,Aurora,2013
Toyota,Corolla,Corolla,2013
Volkswagen,Golf,Golf/GTI,2013
Volkswagen,Phaeton,Phaeton,2013
Ford,Escape Hybrid 4WD,Escape,2013
Ford,Fusion FWD,Fusion,2013
Fiat,500,500,2019
Genesis,G80 RWD,G80,2019
Lamborghini,Huracan Spyder 2WD,Huracan,2020
Lamborghini,Huracan Spyder,Huracan,2021
Volvo,V90CC B6 AWD,V90,2021
Honda,Civic 5Dr,Civic,2021
Infiniti,QX50,QX50,2021
Toyota,Crown AWD,Crown,2023
Chevrolet,Trailblazer FWD,Trailblazer,2024
Mercedes-Benz,500SE,500,2013
Pontiac,Grand Prix,Grand Prix,2013
Chevrolet,C1500 Pickup 2WD,C1500 Pickup,2013
Chevrolet,G10/20 Van 2WD,G10/20 Van,2013
Pontiac,Grand Am,Grand Am,2013
BMW,735i Luxury,7 Series,2013
Dodge,D250 Pickup 2WD,D250 Pickup,2013
Mazda,MX-5 Miata,MX-5 Miata,2013
Chrysler,LeBaron Convertible,LeBaron,2013
Infiniti,Q50,Q50,2016
Maserati,Ghibli  V6 RWD,Ghibli,2017
Porsche,Macan,Macan,2017
Ford,Edge AWD,Edge,2018
Mitsubishi,Eclipse Cross 2WD,Eclipse Cross,2019
Fiat,500 L,500,2019
MINI,Cooper Hardtop 2 door,Cooper,2019
Aston Martin,Saloon/Vantage/Volante,Saloon/Vantage/Volante,2013
Volkswagen,Atlas,Atlas,2020
Isuzu,Impulse,Impulse,2013
Jeep,Wrangler 2dr 4WD,Wrangler,2020
Pontiac,Firebird/Trans Am,Firebird/Trans Am/Formula,2013
BMW,M850i xDrive Convertible,M,2020
Cadillac,XT5 AWD,XT5,2021
Ford,Explorer RWD,Explorer,2021
Ford,Bronco 4WD,Bronco,2021
Ford,Transit T150 Wagon 4WD FFV,Transit T150 Wagon,2022
Polestar,2 Single Motor,2,2022
Ford,Mustang Mach 1,Mustang,2023
BMW,645ci,6 Series,2013
Chevrolet,Van 15/25 2WD Conversion,Van 15/25 Conversion,2013
GMC,Envoy XL 4WD,Envoy,2013
BMW,330ci,3 Series,2013
Subaru,Impreza Wagon/Outback SPT AWD,Impreza/Outback Sport,2013
Lexus,RX 330 2WD,RX,2013
Dodge,Ram 1500 Pickup 4WD,Ram 1500 Pickup,2013
BMW,750li,7 Series,2013
Lincoln,Mark LT,Mark LT,2013
Land Rover,Range Rover Sport,Range Rover,2013
Cadillac,STS,STS,2013
Dodge,W250 Pickup 4WD,W250 Pickup,2013
Toyota,MR2,MR2,2013
Mercedes-Benz,C230 Kompressor,C-Class,2013
Chevrolet,HHR Panel FWD,HHR,2013
Toyota,Yaris,Yaris,2013
Mazda,Tribute 4WD,Tribute,2013
Volkswagen,Routan,Routan,2013
GMC,Savana 2500 2WD (Passenger),Savana Passenger,2013
Toyota,FJ Cruiser 4WD,FJ Cruiser,2013
Dodge,Challenger,Challenger,2013
Audi,Q5,Q5,2013
Nissan,Frontier 2WD,Frontier,2013
Nissan,Frontier 4WD,Frontier,2013
Mercedes-Benz,E63 AMG 4matic (wagon),E-Class,2013
Lincoln,Continental,Continental,2013
Jaguar,XF,XF,2013
Toyota,Venza,Venza,2013
Plymouth,Reliant,Reliant,2013
Jeep,Patriot FWD,Patriot,2013
Ford,E350 Wagon,E350 Wagon,2013
MINI,Cooper S Paceman,Paceman,2014
BMW,M4 Coupe,M,2014
Dodge,Dart Aero,Dart,2014
Mercedes-Benz,CLS550,CLS-Class,2014
Kia,Forte 5,Forte,2015
Chevrolet,Impala,Impala,2015
Ford,Flex AWD,Flex,2015
Mazda,5,5,2013
Toyota,Sequoia 2WD,Sequoia,2013
Toyota,Highlander 2WD,Highlander,2013
Nissan,370Z Roadster,370Z,2014
Rolls-Royce,Ghost EWB,Ghost,2015
Dodge,B150/B250 Wagon 2WD,B150/B250 Wagon,2013
Mazda,MPV,MPV,2013
Ford,Mustang,Mustang,2013
Ford,Expedition 2WD,Expedition,2013
Daewoo,Nubira,Nubira,2013
Hyundai,Sonata,Sonata,2013
Volkswagen,Jetta Wagon,Jetta,2013
Ferrari,575 M Maranello,575 M Maranello,2013
Volkswagen,Passat,Passat,2013
BMW,745li,7 Series,2013
Toyota,RAV4 4WD,RAV4,2013
Toyota,Camry,Camry,2013
MINI,Cooper S,Cooper,2013
Cadillac,DTS,DTS,2013
Volvo,S40 FWD,S40,2013
Volvo,S60 AWD,S60,2017
GMC,G15/25 Vandura 2WD,Vandura,2013
Mercedes-Benz,E300,E-Class,2018
Mercedes-Benz,AMG C43 4matic Convertible,C-Class,2018
Karma,Revero GT (21-inch wheels),Revero,2019
Kia,EV6 Long Range RWD,EV6,2022
Nissan,Versa,Versa,2013
Volkswagen,Golf,Golf/GTI,2013
Honda,Accord Coupe,Accord,2013
Honda,Fit,Fit,2013
Volkswagen,Golf,Golf/GTI,2013
Mitsubishi,Lancer,Lancer,2013
Mitsubishi,Outlander 4WD,Outlander,2014
Toyota,Tacoma 4WD,Tacoma,2014
GMC,Yukon K1500 4WD,Yukon,2014
Mitsubishi,Outlander Sport 2WD,Outlander,2016
Hyundai,Ioniq 6 Long range AWD (20 inch Wheels),Ioniq 6,2023
Porsche,718 Cayman S,718,2023
Honda,Pilot AWD Touring/Elite/Black,Pilot,2023
Lincoln,Corsair FWD,Corsair,2024
Dodge,Caravan/Grand Caravan/Ram Van 2WD,Caravan/Grand Caravan/Ram Van,2013
Dodge,D100/D150 Pickup 2WD,D100/D150 Pickup,2013
Nissan,Van (passenger),Van,2013
Chevrolet,Cavalier Wagon,Cavalier,2013
Lexus,SC 300/SC 400,SC,2013
GMC,Jimmy 2WD,Jimmy,2013
Mitsubishi,Montero Sport 2WD,Montero Sport,2013
Maserati,Spider Cambiocorsa/spider GT,Spyder,2013
BMW,325i Sport Wagon,3 Series,2013
Audi,A4 quattro,A4,2013
Hyundai,Tucson 4WD,Tucson,2013
Chrysler,Voyager/Town and Country 2WD,Voyager/Town and Country,2013
GMC,Envoy 2WD,Envoy,2013
Mercedes-Benz,C350,C-Class,2013
Volvo,V70 FWD,V70,2013
GMC,Caballero Pickup 2WD,Caballero Pickup,2013
GMC,Caballero Pickup 2WD,Caballero Pickup,2013
Nissan,Frontier 2WD,Frontier,2013
Ford,Mustang,Mustang,2013
Mercedes-Benz,S600,S-Class,2013
GMC,K15 Pickup 4WD,Pickup,2013
Volkswagen,Rabbit,Rabbit,2013
Rivian,R1S 22 inch Performance Dual Large,R1S,2023
Honda,Accord,Accord,2016
Kia,Sorento FE AWD,Sorento,2017
Chevrolet,Blazer FWD,Blazer,2019
Toyota,Prius c,Prius,2019
Chevrolet,Camaro,Camaro,2013
Porsche,Panamera 4 e-Hybrid Executive,Panamera,2019
Nissan,Titan 4WD,Titan,2020
BMW,X1 sDrive28i,X1,2020
Kia,Sportage AWD,Sportage,2021
Kia,Niro Electric,Niro,2021
Hyundai,Kona N,Kona,2021
Dodge,Charger AWD,Charger,2022
Nissan,Z,Z,2022
Acura,ZDX 4WD,ZDX,2013
Porsche,Panamera,Panamera,2013
GMC,Savana 1500 2WD (cargo),Savana Cargo,2013
BMW,Z4 sDrive28i,Z4,2013
Ford,Escape FWD,Escape,2014
Chevrolet,R10 Pickup 2WD,R10 Pickup,2013
Jaguar,F-Type Coupe,F-Type,2016
Subaru,XT,XT,2013
Chevrolet,Silverado 1500 2WD,Silverado,2013
Ford,Tempo,Tempo,2013
Saab,9-2x Wagon AWD,9-2,2013
Cadillac,Armored DTS,Armored DTS,2013
Saturn,Relay AWD,Relay,2013
BMW,M6 Convertible,M,2013
GMC,Safari 2WD (cargo),Safari,2013
Ford,F250,F250,2013
Jeep,Wrangler 4WD,Wrangler,2013
Ford,Explorer Timberline AWD,Explorer,2023
Nissan,Truck Cab Chassis 2WD,Truck,2013
Dodge,Omni,Omni,2013
Chevrolet,Silverado 2500 HD 2WD CNG,Silverado,2013
Chevrolet,HHR FWD,HHR,2013
Suzuki,Grand Vitara 4WD,Grand Vitara,2013
Roush Performance,Stage 3 F-150 4WD,F150,2013
Mercedes-Benz,E320 Bluetec,E-Class,2013
Suzuki,SX4 Sedan,SX4,2013
Subaru,Impreza Wagon/Outback SPT AWD,Impreza/Outback Sport,2013
Chrysler,Laser/Daytona,Laser/Daytona,2013
Ford,Mustang,Mustang,2013
Volkswagen,Quantum,Quantum,2013
Ford,F150 Pickup 4WD,F150,2013
Oldsmobile,Cutlass Ciera,Cutlass Ciera,2013
Mitsubishi,Expo,Expo,2013
Oldsmobile,Achieva,Achieva,2013
Toyota,Camry,Camry,2013
Volvo,C70 Convertible,C70,2013
Plymouth,Neon,Neon,2013
Mitsubishi,Eclipse Spyder,Eclipse,2013
BMW,530i,5 Series,2013
Ford,Ranger Pickup 4WD,Ranger,2013
BMW,M5,M,2013
Mitsubishi,Truck 4WD,Truck,2013
BMW,M4 DTM Champions Edition,M,2017
Nissan,Sentra Nismo,Sentra,2017
Mitsubishi,Outlander Sport 2WD,Outlander,2019
Tesla,Model X Performance (22in Wheels),Model X,2019
Roush Performance,Mustang,Mustang,2021
Porsche,718 Cayman T,718,2021
Mercedes-Benz,GLE350,GLE-Class,2021
Peugeot,505 Sedan,505,2013
Nissan,Kicks,Kicks,2022
Hyundai,Kona AWD,Kona,2022
Rolls-Royce,Phantom Extended,Phantom,2022
Mercedes-Benz,500E,500,2013
Mercury,Montego FWD,Montego,2013
Jeep,Compass 4WD,Compass,2013
GMC,Terrain AWD,Terrain,2013
Infiniti,QX60 AWD,QX60,2013
Buick,Regal,Regal,2013
Jaguar,F-Type S Coupe,F-Type,2014
Ford,Focus FWD FFV,Focus,2014
Lincoln,MKS AWD,MKS,2015
