Hospital NPI,Hospital Name,Hospital Street Address,Hospital City,Hospital State,Hospital Postal Code
1821091851,CUMBERLAND COUNTY HOSPITAL SYSTEM INC,1638 OWEN DR,FAYETTEVILLE,NC,283043424
1346243375,"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL, INC",1 ROBERT WOOD JOHNSON PL,NEW BRUNSWICK,NJ,089011928
1891798823,MONTICELLO BIG LAKE HOSPITAL NURSING HOME,1013 HART BLVD,MONTICELLO,MN,553628575
1134122179,EDEN MEDICAL CENTER,20103 LAKE CHABOT RD,CASTRO VALLEY,CA,945465305
1881697811,LINDSBORG COMMUNITY HOSPITAL ASSOCIATION,605 W LINCOLN ST,LINDSBORG,KS,674562328
1417950445,"BROADVIEW, INC.",4570 GRIFFIN AVE,LOS ANGELES,CA,900311422
1770586794,ST LUKES REGIONAL MEDICAL CENTER,190 E BANNOCK ST,BOISE,ID,837126241
1083617005,"OKLAHOMA HEART HOSPITAL, LLC",4050 W MEMORIAL RD,OKLAHOMA CITY,OK,731208382
1073516019,DREW COUNTY MEMORIAL HOSPITAL,778 SCOGIN DR,MONTICELLO,AR,716555729
1124021308,JULIA RACKLEY PERRY MEMORIAL HOSPITAL,530 PARK AVE E,PRINCETON,IL,613563901
1225031495,"MONROE SURGICAL HOSPITAL, LLC",2408 BROADMOOR BLVD.,MONROE,LA,71201
1912900168,UPMC SOMERSET,225 S CENTER AVE,SOMERSET,PA,155012033
1629071758,BRIGHTON COMMUNITY HOSPITAL ASSOCIATION,1600 PRAIRIE CENTER PARKWAY,BRIGHTON,CO,806014006
1821091059,WAYNESBORO HOSPITAL,501 E MAIN ST,WAYNESBORO,PA,172682353
1639172869,CUMBERLAND COUNTY HOSPITAL SYSTEM INC,1638 OWEN DR,FAYETTEVILLE,NC,283043424
1982607115,CUMBERLAND COUNTY HOSPITAL SYSTEM INC,150 ROBESON ST,FAYETTEVILLE,NC,283015570
1558364760,CLOUD COUNTY HEALTH CENTER INC,155 WEST COLLEGE DRIVE,CONCORDIA,KS,66901
1881697878,YOAKUM COMMUNITY HOSPITAL,1200 CARL RAMERT DR,YOAKUM,TX,779954868
1639172810,BOWEN HEALTH INC,850 N HARRISON ST,WARSAW,IN,465803163
1407859655,DELNOR COMMUNITY HOSPITAL,300 RANDALL RD,GENEVA,IL,601344200
1417950650,"KANSAS SPINE & SPECIALTY HOSPITAL, L.L.C.",3333 N WEBB RD,WICHITA,KS,672268123
1922001015,TREGO COUNTY LEMKE MEMORIAL HOSPITAL,320 N 13TH ST,WAKEENEY,KS,676722002
1215930441,SKIFF MEDICAL CENTER,204 N 4TH AVE E,NEWTON,IA,502083135
1881697043,HAYS MEDICAL CENTER INC,2220 CANTERBURY DR,HAYS,KS,676012370
1598768780,LITTLE COMPANY OF MARY HOSPITAL INC,2800 W 95TH ST,EVERGREEN PARK,IL,608052746
1083617245,"ST MARY'S HOSPITAL, CENTRALIA, ILLINOIS",400 N PLEASANT AVE,CENTRALIA,IL,62801
1396748430,EAST TEXAS MEDICAL CENTER QUITMAN,117 N WINNSBORO ST,QUITMAN,TX,757832144
1639172778,RENAISSANCE HOSPITALS INC,5500 39TH ST,GROVES,TX,776192905
1083617120,"ESSENTIA HEALTH VIRGINIA, LLC",901 9TH ST N,VIRGINIA,MN,557922325
1922001049,CALAIS COMMUNITY HOSPITAL,24 HOSPITAL LN,CALAIS,ME,046191329
