Name,Genre,Platform,Publisher
Wii Sports,Sports,Nintendo Wii,Nintendo
Super Mario Bros.,Platform,Nintendo Entertainment System,Nintendo
Mario Kart Wii,Racing,Nintendo Wii,Nintendo
Wii Sports Resort,Sports,Nintendo Wii,Nintendo
Pokemon Red/Pokemon Blue,Role-Playing,Game Boy,Nintendo
Tetris,Puzzle,Game Boy,Nintendo
New Super Mario Bros.,Platform,Nintendo DS,Nintendo
Wii Play,Misc,Nintendo Wii,Nintendo
New Super Mario Bros. Wii,Platform,Nintendo Wii,Nintendo
Duck Hunt,Shooter,Nintendo Entertainment System,Nintendo
Nintendogs,Simulation,Nintendo DS,Nintendo
Mario Kart DS,Racing,Nintendo DS,Nintendo
Pokemon Gold/Pokemon Silver,Role-Playing,Game Boy,Nintendo
Wii Fit,Sports,Nintendo Wii,Nintendo
Wii Fit Plus,Sports,Nintendo Wii,Nintendo
Kinect Adventures!,Misc,Xbox 360,Microsoft Game Studios
Grand Theft Auto V,Action,PlayStation 3,Take-Two Interactive
Grand Theft Auto: San Andreas,Action,PlayStation 2,Take-Two Interactive
Super Mario World,Platform,Super Nintendo Entertainment System,Nintendo
Brain Age: Train Your Brain in Minutes a Day,Misc,Nintendo DS,Nintendo
Pokemon Diamond/Pokemon Pearl,Role-Playing,Nintendo DS,Nintendo
Super Mario Land,Platform,Game Boy,Nintendo
Super Mario Bros. 3,Platform,Nintendo Entertainment System,Nintendo
Grand Theft Auto V,Action,Xbox 360,Take-Two Interactive
Grand Theft Auto: Vice City,Action,PlayStation 2,Take-Two Interactive
Pokemon Ruby/Pokemon Sapphire,Role-Playing,Game Boy Advance,Nintendo
Pokemon Black/Pokemon White,Role-Playing,Nintendo DS,Nintendo
Brain Age 2: More Training in Minutes a Day,Puzzle,Nintendo DS,Nintendo
Gran Turismo 3: A-Spec,Racing,PlayStation 2,Sony Computer Entertainment
Call of Duty: Modern Warfare 3,Shooter,Xbox 360,Activision
Pokémon Yellow: Special Pikachu Edition,Role-Playing,Game Boy,Nintendo
Call of Duty: Black Ops,Shooter,Xbox 360,Activision
Pokemon X/Pokemon Y,Role-Playing,Nintendo 3DS,Nintendo
Call of Duty: Black Ops 3,Shooter,PlayStation 4,Activision
Call of Duty: Black Ops II,Shooter,PlayStation 3,Activision
Call of Duty: Black Ops II,Shooter,Xbox 360,Activision
Call of Duty: Modern Warfare 2,Shooter,Xbox 360,Activision
Call of Duty: Modern Warfare 3,Shooter,PlayStation 3,Activision
Grand Theft Auto III,Action,PlayStation 2,Take-Two Interactive
Super Smash Bros. Brawl,Fighting,Nintendo Wii,Nintendo
Call of Duty: Black Ops,Shooter,PlayStation 3,Activision
Animal Crossing: Wild World,Simulation,Nintendo DS,Nintendo
Mario Kart 7,Racing,Nintendo 3DS,Nintendo
Halo 3,Shooter,Xbox 360,Microsoft Game Studios
Grand Theft Auto V,Action,PlayStation 4,Take-Two Interactive
Pokemon HeartGold/Pokemon SoulSilver,Action,Nintendo DS,Nintendo
Super Mario 64,Platform,Nintendo 64,Nintendo
Gran Turismo 4,Racing,PlayStation 2,Sony Computer Entertainment
Super Mario Galaxy,Platform,Nintendo Wii,Nintendo
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,Nintendo 3DS,Nintendo
Super Mario Land 2: 6 Golden Coins,Adventure,Game Boy,Nintendo
Grand Theft Auto IV,Action,Xbox 360,Take-Two Interactive
Gran Turismo,Racing,PlayStation,Sony Computer Entertainment
Super Mario 3D Land,Platform,Nintendo 3DS,Nintendo
Gran Turismo 5,Racing,PlayStation 3,Sony Computer Entertainment
Call of Duty: Modern Warfare 2,Shooter,PlayStation 3,Activision
Grand Theft Auto IV,Action,PlayStation 3,Take-Two Interactive
Super Mario All-Stars,Platform,Super Nintendo Entertainment System,Nintendo
Pokemon FireRed/Pokemon LeafGreen,Role-Playing,Game Boy Advance,Nintendo
Super Mario 64,Platform,Nintendo DS,Nintendo
Just Dance 3,Misc,Nintendo Wii,Ubisoft
Call of Duty: Ghosts,Shooter,Xbox 360,Activision
Halo: Reach,Shooter,Xbox 360,Microsoft Game Studios
Mario Kart 64,Racing,Nintendo 64,Nintendo
New Super Mario Bros. 2,Platform,Nintendo 3DS,Nintendo
Halo 4,Shooter,Xbox 360,Microsoft Game Studios
Final Fantasy VII,Role-Playing,PlayStation,Sony Computer Entertainment
Call of Duty: Ghosts,Shooter,PlayStation 3,Activision
Just Dance 2,Misc,Nintendo Wii,Ubisoft
Gran Turismo 2,Racing,PlayStation,Sony Computer Entertainment
Call of Duty 4: Modern Warfare,Shooter,Xbox 360,Activision
