plant_common_name,plant_family,plant_scientific_name
Brittlestem Hempnettle,Lamiaceae,Galeopsis tetrahit L. var. tetrahit
Rockcap Fern,Polypodiaceae,Pecluma M.G. Price
Flavoparmelia Lichen,Parmeliaceae,Flavoparmelia Hale
Fragrant Maidenhair,Pteridaceae,Adiantum melanoleucum Willd.
Devilwood,Oleaceae,Osmanthus americanus (L.) Benth. & Hook. f. ex A. Gray
Yellow Columbine,Ranunculaceae,Aquilegia flavescens S. Watson
Tree Spurge,Euphorbiaceae,Euphorbia dendroides L.
Weeping Alkaligrass,Poaceae,Puccinellia distans (Jacq.) Parl.
Oriental Paperbush,Thymelaeaceae,Edgeworthia chrysantha Lindl.
Cyphomandra,Solanaceae,Cyphomandra Mart. ex Sendtn.
Tropical Bushmint,Lamiaceae,Hyptis mutabilis (A. Rich.) Briq.
Bristly Stingingbush,Malpighiaceae,Malpighia setosa Spreng.
Southern Coastal Violet,Violaceae,Viola septemloba Leconte
Littlelobed Lichen,Peltigeraceae,Massalongia microphylliza (Nyl. ex Hasse) Henssen
Virginia Snakeroot,Aristolochiaceae,Aristolochia serpentaria L.
Indian Milkvetch,Fabaceae,Astragalus australis (L.) Lam.
Whorled Wood Aster,Asteraceae,Oclemena acuminata (Michx.) Greene
Manyflowered Ipomopsis,Polemoniaceae,Ipomopsis multiflora (Nutt.) V.E. Grant
Creeping Lady's Nightcap,Convolvulaceae,Bonamia repens (I.M. Johnst.) Austin & Staples
Fontinalis Moss,Fontinalaceae,Fontinalis dalecarlica Schimp.
Stiff Greenthread,Asteraceae,Thelesperma filifolium (Hook.) A. Gray var. intermedium (Rydb.) Shinners
Leadwort,Plumbaginaceae,Plumbago L.
Kingdevil,Asteraceae,Hieracium praealtum Vill. ex Gochnat var. decipiens W.D.J. Koch
Greenman's Bluet,Rubiaceae,Houstonia parviflora Holz. ex Greenm.
Scorpion Milkvetch,Fabaceae,Astragalus lentiginosus Douglas ex Hook. var. scorpionis M.E. Jones
Kidney Bean,Fabaceae,Phaseolus vulgaris L.
Kauai Remya,Asteraceae,Remya kauaiensis Hillebr.
Smelly Wallflower,Brassicaceae,Erysimum odoratum Ehrh.
Counterclockwise Nipple Cactus,Cactaceae,Mammillaria mainiae K. Brandegee
Fremont's Evening Primrose,Onagraceae,Oenothera macrocarpa Nutt. ssp. fremontii (S. Watson) W.L. Wagner
Buttonsage,Verbenaceae,Lantana involucrata L.
Desert Mariposa Lily,Liliaceae,Calochortus kennedyi Porter var. kennedyi
Trans-pecos Thimblehead,Asteraceae,Hymenothrix wislizeni A. Gray
